		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
P809	00:00:00	17.35	102.00	109.35	0.87	0.11	0.26	0.05
P810	00:00:00	64.30	203.00	88.94	7.57e-08	2.34e-09	1.97e-11	0.00
P811	00:00:00	50.17	102.00	89.57	1.43	0.18	0.94	0.06
P813	00:00:00	30.85	152.00	76.04	15.68	0.86	15.33	0.06
P815	00:00:00	50.52	102.00	84.34	17.55	2.15	108.89	0.05
P817	00:00:00	253.30	203.00	72.66	7.88	0.24	1.14	0.08
P819	00:00:00	8.02	203.00	105.07	8.10	0.25	0.61	0.04
P821	00:00:00	64.78	102.00	83.95	0.13	0.02	0.01	0.10
P822	00:00:00	11.71	102.00	99.59	0.90	0.11	0.33	0.05
P823	00:00:00	18.84	76.00	113.36	0.25	0.05	0.10	0.05
P826	00:00:00	335.29	76.00	99.15	0.57	0.13	0.60	0.06
P827	00:00:00	119.07	76.00	103.74	0.05	0.01	5.96e-03	0.07
P83	00:00:00	15.14	610.00	75.66	192.64	0.66	1.86	0.05
P830	00:00:00	89.30	76.00	99.04	0.58	0.13	0.62	0.06
P831	00:00:00	62.20	76.00	86.29	2.73	0.60	14.00	0.06
P84	00:00:00	148.63	203.00	97.41	0.35	0.01	2.10e-03	0.07
P840	00:00:00	235.28	203.00	97.77	14.03	0.43	1.91	0.04
P841	00:00:00	347.83	76.00	93.68	1.19	0.26	2.56	0.06
P842	00:00:00	64.41	52.00	95.52	1.77	0.84	33.13	0.05
P844	00:00:00	12.49	102.00	113.81	3.41	0.42	3.02	0.03
P846	00:00:00	94.84	203.00	103.98	2.57	0.08	0.07	0.05
P847	00:00:00	68.63	152.00	91.07	2.80	0.15	0.45	0.06
P85	00:00:00	36.60	76.00	69.93	0.53	0.12	0.99	0.11
P850	00:00:00	241.13	101.60	112.53	2.79	0.34	2.17	0.04
P851	00:00:00	228.78	76.00	121.93	1.39	0.31	2.12	0.03
P852	00:00:00	40.39	203.00	105.38	4.39	0.14	0.19	0.04
P853	00:00:00	295.68	203.00	118.65	18.45	0.57	2.23	0.03
P855	00:00:00	37.88	102.00	114.85	0.49	0.06	0.08	0.05
P858	00:00:00	195.38	102.00	113.41	0.82	0.10	0.22	0.04
P859	00:00:00	90.81	152.00	95.29	3.46	0.19	0.62	0.05
P86	00:00:00	161.00	305.00	110.50	36.30	0.50	1.23	0.03
P861	00:00:00	110.79	152.00	87.94	0.59	0.03	0.03	0.08
P866	00:00:00	17.37	102.00	92.17	0.97	0.12	0.43	0.06
P87	00:00:00	80.03	203.00	76.40	3.96	0.12	0.29	0.08
P871	00:00:00	48.15	102.00	91.81	0.42	0.05	0.09	0.07
P880	00:00:00	112.84	76.00	86.03	0.31	0.07	0.25	0.08
P889	00:00:00	15.72	203.00	88.74	1.65	0.05	0.04	0.07
P89	00:00:00	104.30	152.00	78.43	1.46	0.08	0.18	0.08
P892	00:00:00	30.39	254.00	69.85	106.42	2.10	51.26	0.06
P9	00:00:00	49.95	254.00	66.75	42.66	0.84	10.25	0.07
P90	00:00:00	98.94	102.00	62.32	1.30	0.16	1.55	0.12
P91	00:00:00	572.34	102.00	94.34	0.31	0.04	0.05	0.07
P914	00:00:00	38.61	203.00	91.18	5.43e-03	1.68e-04	3.83e-09	5.42e-04
P915	00:00:00	10.58	152.00	72.77	17.72	0.98	20.87	0.07
P92	00:00:00	63.12	203.00	83.11	1.20	0.04	0.03	0.08
P924	00:00:00	82.38	254.00	74.46	1.24	0.02	0.01	0.10
P927	00:00:00	348.88	406.00	84.53	0.05	4.12e-04	2.84e-06	0.13
